Code,Description,CAS Code,CAS Description
EQ206,Leak Tight HGV Lanes,FCT_HGV,Truck Lanes
EQ207,Kerbing,FCT_KERB,Kerbing
EQ208,Landscaping,FCT_LAND,Landscaping
EQ210,Car Parking Area,FCT_PARK,Car Parking Area
EQ211,Car Parking Area Canopy,FCT_PARK,Car Parking Area
EQ212,Security Lighting Columns,FCT_PARK,Car Parking Area
EQ213,Manhole and Covers,FCT_SURF,Surface / Pavement
EQ214,Pavement Stones,FCT_SURF,Surface / Pavement
EQ215,Road and Lane Markings,FCT_SURF,Surface / Pavement
EQ216,Road Surfaces,FCT_SURF,Surface / Pavement
EQ217,Leak Tight Wall,FCT_TIGH,Leak Tight Wall
EQ223,Coffee Machines,FOD_COFF,Coffee Dispenser
EQ230,Ice Dispenser,FOD_CRUS,Ice Dispenser
EQ231,Hot Dog Roller Grill,FOD_DOG,Hot Dog Roller Grill
EQ233,Extraction Unit,FOD_EXUN,Extraction Unit
EQ234,Extraction Unit Filters,FOD_EXUN,Extraction Unit
EQ236,Fat Extractor,FOD_FAT,Fat Extractor
EQ237,Food Counters,FOD_FCNT,Counter
EQ238,Sales Counters,FOD_FCNT,Counter
EQ239,Deep Fryer,FOD_FRY,Fryer
EQ240,Heating Plate,FOD_HOT,Heating Plate
EQ241,Juice Dispensers,FOD_JUIC,Juice Dispensers
EQ242,Microwaves,FOD_MICR,Microwaves
EQ243,Bread Maker,FOD_MISC,Food Miscellaneous
EQ246,Food Miscellaneous,FOD_MISC,Food Miscellaneous
EQ247,General Kitchen Equipment,FOD_MISC,Food Miscellaneous
EQ250,Newspaper / Product Stands,FOD_MISC,Food Miscellaneous
EQ252,Ovens,FOD_OVEN,Ovens
EQ257,Food Scales,FOD_SCAL,Food Scales
EQ261,Dispenser (n),FSY_DISP,Dispenser
EQ262,Dispenser Metering,FSY_DISP,Dispenser
EQ263,Dispenser Power Supply,FSY_DISP,Dispenser
EQ264,Fuelling Position (n),FSY_DISP,Dispenser
EQ267,Tank Gauge Alarm,FSY_GAUG,Tank Gauge (ATG)
EQ268,Tank Gauges,FSY_GAUG,Tank Gauge (ATG)
EQ270,Ground Water Sampling Point,FSY_LEAK,Leak Detection System
EQ273,Leak Detection System Pipework,FSY_LEAK,Leak Detection System
EQ274,Leak Detection System Tanks,FSY_LEAK,Leak Detection System
EQ275,Manhole Water Leak Detection,FSY_LEAK,Leak Detection System
EQ276,Overfill Protection,FSY_OFP,Overfill Protection
EQ277,Emergency Fuel Cut-off System,FSY_PIPE,Pipework
EQ278,Fillingpoint Cover / Box,FSY_PIPE,Pipework
EQ279,Pipework,FSY_PIPE,Pipework
EQ280,Pipework Filler Cap,FSY_PIPE,Pipework
EQ281,Pipework Line Testing,FSY_PIPE,Pipework
EQ282,Fuel Systems Submersible Pump,FSY_SUB,Fuel Systems Submersible Pump
EQ283,Fuel Tanks,FSY_TANK,Fuel Tanks
EQ284,Tank - Tank and Line Testing,FSY_TANK,Fuel Tanks
EQ288,Air Conditioning Units,HVC_AIR,Aircon Units
EQ289,Air Curtain,HVC_AIR,Aircon Units
EQ290,Electrical Ductwork / Cabling,HVC_DUCT,Ductwork
EQ291,General Ventilation Fans,HVC_FANS,General Ventilation Fans
EQ310,Canopy Fascia,PRM_CANO,Canopy Fascia
EQ311,Red Bar equipped with LED Lighting,PRM_CANO,Canopy Fascia
EQ312,Red Bar equipped with Tube  Lighting,PRM_CANO,Canopy Fascia
EQ313,Building Fascia,PRM_FASC,Prime Fascia
EQ314,Flag Sign Fascia,PRM_FASC,Prime Fascia
EQ315,Monoltih Fascia,PRM_FASC,Prime Fascia
EQ316,Motorway Price Sign Fascia,PRM_FASC,Prime Fascia
EQ317,Pole Sign Fascia,PRM_FASC,Prime Fascia
EQ318,Pylon Sign Fascia,PRM_FASC,Prime Fascia
EQ320,Flag Sign,PRM_FLAG,Flag Sign
EQ321,Monolith,PRM_MONO,Prime Sign
EQ322,General Price Sign Price Change Unit,PRM_PCU,Price Control Unit
EQ323,Monolith Price Change Unit,PRM_PCU,Price Control Unit
EQ324,Motorway Sign Price Change Unit,PRM_PCU,Price Control Unit
EQ325,Price Control Unit Electrical,PRM_PCU,Price Control Unit
EQ326,Price Control Unit Remote Control Unit,PRM_PCU,Price Control Unit
EQ327,Slim Line (Low Level Price) Price Change Unit,PRM_PCU,Price Control Unit
EQ328,Pole Sign,PRM_POLE,Pole Sign
EQ329,Building Porticos,PRM_PORT,Porticos
EQ332,Pylon Sign ( Above 14 Mtrs ),PRM_PYLO,Pylon Sign ( Above 14 Mtrs )
EQ335,Fridge Condensing Unit,REF_COMP,Condensing Unit
EQ336,Freezer Condensing Unit,REF_COMP,Condensing Unit
EQ337,Outside Display Freezers,REF_FREZ,Freezers
EQ338,Shop Display Freezers,REF_FREZ,Freezers
EQ339,Utility / Storeroom Freezers,REF_FREZ,Freezers
EQ340,Shop Display Fridges,REF_FRID,Fridges
EQ341,Utility / Storeroom Fridges,REF_FRID,Fridges
EQ351,Counter Safety (Bullet Proof Area),SAF_CNTR,Counter Safety (Bullet Proof Area)
EQ353,Fire Equipment,SAF_FIRE,Fire Equipment
EQ354,Sprinkler System,SAF_FIRE,Fire Equipment
EQ357,Car Wash Door Locks,SAF_LOCK,Locks
EQ358,Digital / Keypad Locks,SAF_LOCK,Locks
EQ359,Electrical Locks,SAF_LOCK,Locks
EQ360,External Security Door Locks,SAF_LOCK,Locks
EQ361,General Key Locks,SAF_LOCK,Locks
EQ362,Internal non-security door locks,SAF_LOCK,Locks
EQ363,Office Digital / Keypad Locks,SAF_LOCK,Locks
EQ364,Remote Locks,SAF_LOCK,Locks
EQ365,Shop Automatic Door Locks,SAF_LOCK,Locks
EQ366,Shop Entrance Sliding / Normal Door Locks,SAF_LOCK,Locks
EQ367,Staff Security Case Digital / Keypad Locks,SAF_LOCK,Locks
EQ368,Workshop Main / Roller Door Locks,SAF_LOCK,Locks
EQ370,Anti-Ram Bollards,SAF_RAM,Anti-Ram Bollards
EQ371,Change Dump Safe,SAF_SAFE,Safes
EQ372,Safes,SAF_SAFE,Safes
EQ377,Car Wash Bollards,SEC_CWBO,Car Wash Bollards
EQ378,Car Wash Directional Signs,SEC_CWDR,Car Wash Directional Signs
EQ379,Car Wash Instruction Signs,SEC_CWIN,Car Wash Instruction Signs
EQ381,Direction Signs,SEC_DIR,Direction Signs
EQ382,Entry/Exit Lighting Columns,SEC_ENTY,Entry/Exit Signs
EQ383,Entry/Exit Signs,SEC_ENTY,Entry/Exit Signs
EQ384,Dispenser Signs - Grade / Product,SEC_GRAD,ID Tags
EQ385,Pipework Filler Cap Product Label,SEC_GRAD,ID Tags
EQ386,Tank Signs - Grade / Product,SEC_GRAD,ID Tags
EQ387,Information / Facility Sign,SEC_INFO,Infor./Facility Sign
EQ388,Spreader Boxes,SEC_LBOX,Spreader Boxes
EQ389,Leader Boards,SEC_LEAD,Leader Boards
EQ390,Advertising Monitors (Video / CD / DVD display units),SEC_MISC,Miscellaneous Signs
EQ392,Flag,SEC_MISC,Miscellaneous Signs
EQ393,Flag Pole,SEC_MISC,Miscellaneous Signs
EQ394,Miscellaneous Signs,SEC_MISC,Miscellaneous Signs
EQ396,Site Name Signs,SEC_NAME,Name Signs
EQ398,Safety/Warning Stickers,SEC_NOTE,Safety/Warning Stickers
EQ399,Dispenser Signs - Nozzles,SEC_NOZZ,Dispenser Signs - Nozzles
EQ400,Poster Frames,SEC_POST,Poster Frames
EQ401,Rotating Poster Display,SEC_POST,Poster Frames
EQ403,Glove Dispenser,SEC_SERV,Service Unit/Waste Bin
EQ404,Paper Towel Dispenser,SEC_SERV,Service Unit/Waste Bin
EQ405,Service Unit,SEC_SERV,Service Unit/Waste Bin
EQ406,Waste Bin,SEC_SERV,Service Unit/Waste Bin
EQ412,Water Recycling/Reclaim  Units,VLT_CIRC,Water Reticulation System
EQ424,Workshop Compressors,WRK_COMP,Compressors
EQ429,Hydraulic Lifts,WRK_LIFT,Hoists
EQ443,Fuel Spill Absorbant Material,BLD_ANCY,Ancillary
EQ444,Drinking Water Well,BLD_ANCY,Ancillary
EQ445,Water Filtration System,FOD_MISC,Food Miscellaneous
EQ446,Canopy Fire Suppression System,SAF_FIRE,Fire Equipment
EQ447,"Canopy ""Shell"" Logo Type",PRM_CANO,Canopy Fascia
EQ448,Canopy Height Sign,SEC_MISC,Miscellaneous Signs
EQ449,Restroom Automatic Door Controls (Disabled Persons),BLD_DOOR,Doors
