BP Eldorado Park 1,,Stand 2563/4/5 Extention 3,ELDORADO PARK,1710
BP Eldorado Park 2,,cnr Main & Circle Roads Extention 5,ELDORADO PARK,1811
BP Elgin,,Cnr Elgin Road & Olienhout Street,KEMPTON,1619
BP Empire,,cnr Empire & Joubert Streets,PARKTOWN,2193
BP Glynnwood,,cnr Princes Garage & Harrison Sts,BENONI,1502
BP Harmony Motors,56,Riverside Drive,HARMONY,9435
BP Heidelberg Road,15,Heidelberg Road,CITY DEEP,116
BP Hyper,2,CRN CASON AND RIETFONTEIN ROAD,BOKSBURG NORTH,1502
BP Kagiso,,Kagiso Avenue,KAGISO,1754
BP Katlehong,,cnr Hospital & Khotso Street,KATLEHONG,1432
BP Kensington,,Broadway Avenue,KENSINGTON,2020
BP Kiasha Park,,Cnr Wimbledon & Golden Highway,KIASHA PARK,1829
BP Klipriver Road,,Cnr Turf Club & Kliprivier Roads,WEST TURFFONTEIN,2130
BP Louis Botha,304,Louis Botha Avenue,ORANGE GROVE,1610
BP Mc Gregor Street Motors,39,McGregor Street,BLOEMFONTEIN,9310
BP Melrose Arch,,Cor Corlett Drive Off Ramp,BIRNAM,2015
BP Meyer Street,,Fordburg,GERMISTON,2033
BP Morninghill,1,Boeing Road West,BEDFORDVIEW,2008
BP Motorama,64,Ermelo Road,SPRINGS,UNALLOC
BP Motordeal,,Houtkop Road,VEREENIGING,1936
BP N12 Zuurbekom,,Cnr Fifth Avenue Moroka Bypass,SOWETO,1820
BP Newmarket,,Heidelberg  Vereeniging,"ALRODE, ALBERTON",1449
BP North Rand Road,,Cnr North Rand & Kirschner Rds,BOKSBURG,1462
BP Orange Farm,,PO Box 3181,"CRESTA,RANDBURG",2118
BP O'Reilly Merry,101,O' Reilly Merry Street,BENONI,1501
BP Perth Road,29,Perth Road,WESTDENE,2128
BP Pomona,2,Pomona Road,KEMPTON PARK,1620
BP Randhart,,Cnr. Swartkoppies  Potgieter St,RANDHART,1457
BP Rietfontein,54,Rietfontein Road,BOKSBURG WEST,1467
BP Rusloo,31-32,MC Botha & Hattingh Drive,VOSLOORUS,2058
BP Salt Lake,,cnr Denne & Springs Road,DENNE OORD,6529
BP Saratoga,35,Saratoga Avenue,DOORNFONTEIN,116
BP Sebokeng,1172,Moshoeshoe Street,SEBOKENG,1984
BP Sheffield Service Station,,Cnr Golden Highway & Sheffield Road,LENASIA SOUTH ~ EXT 4,1824
BP Smit Street,125,Smit Street,BRAAMFONTEIN,116
BP Spruitview,,Stand 1130 Siluma Drive,SPRUITVIEW EXT 1,2023
BP Sujee Motors,,Cnr Liverpool & Lanca,BENONI SOUTH,1500
BP Sunnyrock,,cnr Edenvale & North Reef Roads,EDENVALE,1567
BP Tom Jones,,Cnr Tom Jones & Bunyan Roads,BENONI,1501
BP Trio,,cnr Kliprivier & Rivett Carnac Road,ALRODE SOUTH,1930
BP Vosloorus,,Cnr Khoza & Roetsdrive,VOSLOORUS,1432
Braairock Cafe & Filling Sta,100,Meckechnie Street,HARRISMITH,9880
Breswill Service Centre,,Cnr Nigel & Charterland,SELCOURT,1567
Cargo Motors,,Cnr Dick Kemp & Edenvale Roads,EDENVALE,1610
Cascaro Motors,,Cnr Claim & Noord Streets,JOHANNESBURG MAIN,2000
Cecelia Park Motors,,Kwaggafontein Plot 37,BLOEMFONTEIN,9301
Concorde Motors,12,Mark Street,VIRGINIA,9430
Corner Motors,,cnr Schoeman & Old Durban,HEIDELBERG,2400
Craib Avenue Motors,59,Craib Avenue,RIEBEECKSTAD,9469
C & R Motors,45,Durban Street,CITY AND SUBURBAN,2026
Daxina Motors,,cnr Starling & Azalea,LENASIA SOUTH,1827
Downtown Filling Station,294,Commissioner Street,JEPPESTOWN,2100
Dunswart Filling Station,3,Main Reef Road,DUNSWART,1506
Enterprise Motors,,cnr Queen  Church Street,MAYFAIR,2025
E'Thembeni Service Station,,cnr Majola & Thema Road,KWA THEMA,1518
Evaton North BP,1829,Rabotapi Road,EVATON NORTH,1908
Flora Lake Service Centre,6,Kathleen Street,ROODEPOORT,1900
